area_type,availability,location,bath,price,bhk,sqft
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,48.79,2,1128.0
Super built-up  Area,Ready To Move,Begur Road,2,44.4,2,1200.0
Super built-up  Area,Ready To Move,Other,3,260.0,3,2750.0
Plot  Area,Ready To Move,Other,4,480.0,4,2400.0
Built-up  Area,Ready To Move,Yelahanka,3,105.0,3,1650.0
Super built-up  Area,Soon to be Vacated,1st Block Jayanagar,2,148.0,2,1235.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,42.0,2,985.0
Plot  Area,Ready To Move,Gottigere,3,120.0,4,2500.0
Built-up  Area,Ready To Move,GM Palaya,2,60.0,2,1030.0
Built-up  Area,Ready To Move,Sarjapur  Road,3,325.0,4,3800.0
Plot  Area,Soon to be Vacated,Kasavanhalli,4,333.0,4,4260.0
Plot  Area,Ready To Move,Brookefield,6,175.0,5,1950.0
Super built-up  Area,Soon to be Vacated,Kanakapura,2,68.0,2,1283.0
Plot  Area,Ready To Move,HAL 2nd Stage,3,500.0,3,2700.0
Plot  Area,Ready To Move,Konanakunte,2,180.0,3,2400.0
Super built-up  Area,Ready To Move,Kathriguppe,2,68.75,3,1250.0
Super built-up  Area,Ready To Move,Panathur,2,85.0,2,1199.0
Super built-up  Area,Ready To Move,Other,2,90.0,2,1280.0
Super built-up  Area,Soon to be Vacated,1st Block Jayanagar,4,413.0,4,2750.0
Super built-up  Area,Ready To Move,Yelachenahalli,2,60.0,2,1100.0
Super built-up  Area,Ready To Move,Other,3,175.0,3,2075.0
Built-up  Area,Ready To Move,Harlur,2,55.0,2,1133.0
Built-up  Area,Ready To Move,Somasundara Palya,3,140.0,4,2400.0
Super built-up  Area,Ready To Move,Horamavu Agara,3,65.0,3,1250.0
Built-up  Area,Ready To Move,Munnekollal,2,45.0,2,1080.0
Super built-up  Area,Ready To Move,Battarahalli,1,47.0,1,600.0
Plot  Area,Ready To Move,Other,4,180.0,3,1240.0
Super built-up  Area,Ready To Move,Vittasandra,2,67.3,2,1246.0
Super built-up  Area,Soon to be Vacated,JP Nagar,3,237.5,3,3496.5
Super built-up  Area,Ready To Move,HSR Layout,2,46.0,2,1140.0
Built-up  Area,Ready To Move,Vidyaranyapura,2,70.0,2,1120.0
Super built-up  Area,Ready To Move,Electronic City,1,22.0,1,435.0
Super built-up  Area,Ready To Move,Magadi Road,2,51.89,2,1116.0
Super built-up  Area,Ready To Move,Old Madras Road,3,95.0,3,1480.0
Built-up  Area,Ready To Move,Hormavu,2,50.0,2,1000.0
Super built-up  Area,Ready To Move,HSR Layout,2,46.0,2,1145.0
Super built-up  Area,Ready To Move,Bommasandra,1,32.0,2,800.0
Super built-up  Area,Soon to be Vacated,Thanisandra,2,83.0,2,1265.0
Super built-up  Area,Soon to be Vacated,Devanahalli,3,88.2,3,1700.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,55.0,2,1265.0
Built-up  Area,Ready To Move,Anandapura,2,58.0,2,1200.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,210.0,3,2180.0
Super built-up  Area,Ready To Move,Brookefield,2,50.0,2,1080.0
Super built-up  Area,Ready To Move,Whitefield,4,130.0,3,2023.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3,166.0,3,1804.0
Plot  Area,Ready To Move,Other,2,200.0,2,1200.0
Super built-up  Area,Soon to be Vacated,Hoodi,2,74.23,2,1108.0
Super built-up  Area,Ready To Move,Marathahalli,3,115.0,3,1730.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2,31.77,2,1073.0
Built-up  Area,Ready To Move,Ananth Nagar,2,37.0,2,960.0
Built-up  Area,Soon to be Vacated,Electronic City Phase II,2,32.49,2,1125.0
Built-up  Area,Ready To Move,Brookefield,2,55.0,2,1230.0
Super built-up  Area,Ready To Move,Mahadevpura,2,89.0,2,1438.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,75.0,2,1080.0
Plot  Area,Ready To Move,Hebbal Kempapura,3,125.0,3,1200.0
Plot  Area,Ready To Move,Marathahalli,1,103.0,2,1200.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,72.0,3,1560.0
Built-up  Area,Ready To Move,Mallasandra,3,57.0,4,1810.0
Super built-up  Area,Ready To Move,Other,4,160.0,3,2274.24
Super built-up  Area,Soon to be Vacated,Sonnenahalli,3,74.18,3,1484.0
Built-up  Area,Ready To Move,Indira Nagar,3,220.0,3,1650.0
Super built-up  Area,Ready To Move,Thanisandra,4,184.0,3,2280.0
Super built-up  Area,Ready To Move,Other,5,980.0,5,4900.0
Built-up  Area,Soon to be Vacated,Frazer Town,3,220.0,3,2079.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2,74.0,2,1351.0
Built-up  Area,Ready To Move,Whitefield,5,400.0,4,3589.0
Plot  Area,Ready To Move,Channasandra,4,300.0,4,1800.0
Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,55.0,2,984.0
Plot  Area,Ready To Move,Other,3,105.0,2,900.0
Super built-up  Area,Soon to be Vacated,Bhoganhalli,2,75.97,2,1447.0
Built-up  Area,Ready To Move,Margondanahalli,2,60.0,2,1140.0
Super built-up  Area,Soon to be Vacated,Bommanahalli,2,34.0,2,1170.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,46.39,2,1160.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,2,89.0,2,1296.0
Super built-up  Area,Ready To Move,Bellandur,2,48.0,2,1088.0
Super built-up  Area,Soon to be Vacated,Hosa Road,3,98.18,3,1533.0
Super built-up  Area,Ready To Move,Rachenahalli,2,68.0,2,1100.0
Super built-up  Area,Ready To Move,Hebbal,3,48.0,2,1244.0
Super built-up  Area,Soon to be Vacated,Hosa Road,2,68.59,2,1040.0
Super built-up  Area,Ready To Move,Begur Road,2,39.69,2,1260.0
Super built-up  Area,Ready To Move,Uttarahalli,2,41.3,2,1180.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,100.0,2,1245.0
Super built-up  Area,Ready To Move,Other,3,75.0,3,1350.0
Super built-up  Area,Ready To Move,Other,2,10.0,1,470.0
Super built-up  Area,Ready To Move,Vijayanagar,2,60.0,2,920.0
Super built-up  Area,Ready To Move,Sarjapur,2,30.35,2,1124.0
Super built-up  Area,Soon to be Vacated,Begur Road,2,71.42,2,1100.0
Super built-up  Area,Ready To Move,Vijayanagar,2,58.0,2,1019.0
Super built-up  Area,Ready To Move,Harlur,3,128.0,3,1756.0
Super built-up  Area,Soon to be Vacated,Bommasandra,3,50.0,3,1280.0
Plot  Area,Ready To Move,Kenchenahalli,3,125.0,4,1200.0
Super built-up  Area,Soon to be Vacated,Whitefield,4,118.0,3,2134.0
Super built-up  Area,Soon to be Vacated,Hosa Road,2,98.0,2,1369.1
Plot  Area,Ready To Move,Other,4,150.0,3,1313.0
Super built-up  Area,Ready To Move,Other,4,155.0,3,2515.0
Super built-up  Area,Ready To Move,Hebbal,3,140.0,3,1800.0
Built-up  Area,Ready To Move,Kudlu,3,79.0,3,1600.0
Built-up  Area,Ready To Move,GM Palaya,2,35.0,2,1000.0
Super built-up  Area,Ready To Move,Cunningham Road,3,285.0,3,2275.0
Super built-up  Area,Ready To Move,Banashankari Stage III,2,59.0,3,1305.0
Super built-up  Area,Soon to be Vacated,Binny Pete,3,150.0,3,1740.0
Built-up  Area,Ready To Move,Malleshwaram,2,90.0,2,900.0
Built-up  Area,Ready To Move,Benson Town,3,140.0,2,1567.0
Built-up  Area,Ready To Move,Nagarbhavi,2,80.0,2,1050.0
Built-up  Area,Ready To Move,Begur,4,185.0,3,3500.0
Super built-up  Area,Ready To Move,Dasarahalli,2,52.0,2,1220.0
Super built-up  Area,Soon to be Vacated,Binny Pete,3,164.0,3,1970.0
Super built-up  Area,Soon to be Vacated,Other,3,350.0,3,2665.0
Built-up  Area,Ready To Move,Kanakapura,4,120.0,4,2130.0
Super built-up  Area,Ready To Move,Harlur,3,120.0,3,1749.0
Super built-up  Area,Soon to be Vacated,Subramanyapura,2,108.0,2,1260.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,120.0,2,1170.0
Super built-up  Area,Ready To Move,Hennur Road,3,168.0,3,2264.0
Super built-up  Area,Soon to be Vacated,Other,5,450.0,4,3500.0
Super built-up  Area,Ready To Move,Begur,2,55.0,2,1100.0
Super built-up  Area,Soon to be Vacated,Chandapura,1,19.9,2,674.0
Super built-up  Area,Ready To Move,Koramangala,2,160.0,2,1320.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,65.0,2,1125.0
Super built-up  Area,Ready To Move,Nagavara,2,44.5,2,1125.0
Built-up  Area,Ready To Move,BTM Layout,2,75.0,3,1300.0
Super built-up  Area,Soon to be Vacated,Magadi Road,2,60.0,3,1052.0
Super built-up  Area,Ready To Move,Devarachikkanahalli,2,36.0,2,1130.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,3,220.0,3,2200.0
Super built-up  Area,Ready To Move,Gottigere,2,52.0,3,1230.0
Super built-up  Area,Soon to be Vacated,Haralur Road,2,85.0,3,1520.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,26.25,1,525.0
Super built-up  Area,Soon to be Vacated,Hosa Road,2,61.0,2,1040.0
Super built-up  Area,Soon to be Vacated,Old Airport Road,4,201.0,4,2690.0
Super built-up  Area,Ready To Move,Domlur,1,70.0,1,780.0
Super built-up  Area,Ready To Move,Panathur,2,51.2,2,1140.0
Built-up  Area,Ready To Move,Nagavarapalya,1,25.84,1,646.0
Super built-up  Area,Ready To Move,Cox Town,3,150.0,3,1600.0
Super built-up  Area,Soon to be Vacated,Kadugodi,4,125.0,3,1890.0
Built-up  Area,Ready To Move,Kadugodi,2,34.0,2,1050.0
Super built-up  Area,Ready To Move,Green Glen Layout,3,160.0,3,1970.0
Built-up  Area,Ready To Move,Balagere,2,67.0,2,1007.0
Super built-up  Area,Ready To Move,Doddathoguru,2,50.0,2,1105.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,150.0,3,1700.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,50.0,2,1170.0
Built-up  Area,Ready To Move,Chandapura,2,45.0,2,1080.0
Super built-up  Area,Soon to be Vacated,Ramamurthy Nagar,2,57.9,2,1200.0
Super built-up  Area,Ready To Move,KR Puram,2,50.0,2,1040.0
Super built-up  Area,Ready To Move,Hosur Road,2,33.7,2,1085.0
Built-up  Area,Ready To Move,NRI Layout,4,115.0,4,2150.0
Super built-up  Area,Soon to be Vacated,Panathur,2,77.0,2,1210.0
Super built-up  Area,Soon to be Vacated,Iblur Village,3,150.0,3,1920.0
Super built-up  Area,Ready To Move,Mysore Road,2,80.0,2,947.55
Built-up  Area,Ready To Move,Malleshpalya,2,90.0,2,1421.0
Super built-up  Area,Soon to be Vacated,Old Madras Road,2,74.31,3,1425.0
Super built-up  Area,Soon to be Vacated,Whitefield,1,60.0,1,905.0
Plot  Area,Ready To Move,Hormavu,4,289.0,4,3500.0
Plot  Area,Ready To Move,Poorna Pragna Layout,6,450.0,7,2400.0
Built-up  Area,Ready To Move,Ramagondanahalli,4,800.0,4,4200.0
Plot  Area,Ready To Move,Other,5,300.0,6,2400.0
Built-up  Area,Ready To Move,Kumaraswami Layout,4,325.0,4,2600.0
Built-up  Area,Ready To Move,Anjanapura,2,32.0,2,950.0
Built-up  Area,Soon to be Vacated,Banashankari Stage III,2,111.0,2,1304.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,200.0,3,2100.0
Super built-up  Area,Ready To Move,Budigere,3,85.0,3,1636.0
Super built-up  Area,Ready To Move,Green Glen Layout,3,125.0,3,1728.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,125.0,3,1680.0
Super built-up  Area,Soon to be Vacated,Other,2,140.0,2,1235.0
Built-up  Area,Ready To Move,Yelahanka,4,260.0,4,3990.0
Built-up  Area,Ready To Move,Kasavanhalli,2,83.0,2,1495.0
Plot  Area,Ready To Move,Hennur Road,5,175.0,5,1500.0
Carpet  Area,Soon to be Vacated,Kanakpura Road,1,28.0,1,381.0
Super built-up  Area,Soon to be Vacated,Other,5,570.0,4,3301.8
Super built-up  Area,Ready To Move,Hennur Road,3,120.0,3,2002.0
Built-up  Area,Soon to be Vacated,Other,3,260.0,3,3200.0
Plot  Area,Ready To Move,Banjara Layout,2,70.0,2,1200.0
Plot  Area,Ready To Move,Sarjapur  Road,3,235.0,4,1500.0
Plot  Area,Soon to be Vacated,Bommasandra,3,90.0,3,1942.0
Built-up  Area,Ready To Move,Thyagaraja Nagar,1,95.0,1,660.0
Built-up  Area,Ready To Move,Other,3,90.0,3,1450.0
Super built-up  Area,Ready To Move,Old Madras Road,2,80.0,2,1210.0
Built-up  Area,Ready To Move,Yelahanka,3,90.0,3,1620.0
Built-up  Area,Ready To Move,Choodasandra,4,395.0,3,3204.0
Built-up  Area,Ready To Move,Hebbal Kempapura,3,260.0,3,3408.0
Built-up  Area,Ready To Move,Marathahalli,2,55.0,2,1314.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2,33.0,2,945.0
Built-up  Area,Ready To Move,Nehru Nagar,3,72.0,3,1374.0
Built-up  Area,Soon to be Vacated,Kanakpura Road,3,113.0,3,1603.0
Built-up  Area,Ready To Move,Kengeri,2,52.0,3,1230.0
Super built-up  Area,Ready To Move,Basavangudi,1,50.0,1,670.0
Super built-up  Area,Ready To Move,Electronic City,1,39.9,2,770.0
Super built-up  Area,Soon to be Vacated,Varthur,2,45.0,2,1085.0
Super built-up  Area,Ready To Move,Other,3,115.0,3,1893.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,82.0,3,1550.0
Super built-up  Area,Soon to be Vacated,Badavala Nagar,2,94.55,3,1494.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2,69.0,2,1286.0
Super built-up  Area,Ready To Move,Haralur Road,2,45.0,2,1243.0
Super built-up  Area,Ready To Move,Brookefield,2,75.0,2,1200.0
Super built-up  Area,Ready To Move,Sarjapur,2,32.0,2,1044.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,41.59,2,1040.0
Super built-up  Area,Soon to be Vacated,8th Phase JP Nagar,2,36.94,2,1125.0
Super built-up  Area,Soon to be Vacated,Cunningham Road,3,662.0,3,3489.0
Plot  Area,Ready To Move,Vijayanagar,6,125.0,5,2400.0
Plot  Area,Ready To Move,KR Puram,5,560.0,5,4166.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,75.0,2,1210.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,110.0,4,1200.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,51.15,2,1185.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3,100.0,3,1450.0
Super built-up  Area,Ready To Move,Old Madras Road,3,121.0,3,1859.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,262.0,2,1763.0
Built-up  Area,Ready To Move,Other,2,100.0,3,1200.0
Super built-up  Area,Ready To Move,Thanisandra,1,35.285,1,784.0
Super built-up  Area,Ready To Move,Kudlu,2,42.0,2,1027.0
Super built-up  Area,Soon to be Vacated,Uttarahalli,2,40.08,2,1002.0
Built-up  Area,Ready To Move,Uttarahalli,2,40.08,2,1002.0
Super built-up  Area,Ready To Move,Narayanapura,2,89.04,2,1308.0
Super built-up  Area,Soon to be Vacated,Hennur Road,2,69.6,2,1232.0
Super built-up  Area,Soon to be Vacated,Haralur Road,2,44.0,2,1027.0
Built-up  Area,Ready To Move,Kalyan nagar,2,65.0,2,1250.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,53.87,2,1255.0
Built-up  Area,Ready To Move,Akshaya Nagar,3,84.0,3,1434.0
Built-up  Area,Ready To Move,Doddathoguru,2,30.0,2,925.0
Super built-up  Area,Soon to be Vacated,Jakkur,3,123.0,3,1858.0
Plot  Area,Soon to be Vacated,Other,3,90.0,3,1500.0
Plot  Area,Ready To Move,Other,3,200.0,3,1200.0
Super built-up  Area,Ready To Move,Mysore Road,2,48.95,2,1020.0
Super built-up  Area,Ready To Move,Thanisandra,2,56.0,2,965.0
Plot  Area,Ready To Move,7th Phase JP Nagar,6,270.0,5,1800.0
Super built-up  Area,Ready To Move,Battarahalli,2,82.89,2,1636.0
Super built-up  Area,Soon to be Vacated,Kundalahalli,3,125.0,3,1724.0
Super built-up  Area,Soon to be Vacated,Yelahanka,1,36.25,1,654.0
Super built-up  Area,Ready To Move,Budigere,3,92.0,3,1636.0
Super built-up  Area,Soon to be Vacated,Hennur Road,2,73.0,2,1195.0
Super built-up  Area,Ready To Move,Nagavara,3,251.0,3,2400.0
Super built-up  Area,Ready To Move,Whitefield,3,90.0,3,1452.0
Super built-up  Area,Soon to be Vacated,Thanisandra,3,95.0,3,1546.0
Plot  Area,Ready To Move,Indira Nagar,3,275.0,3,1440.0
Super built-up  Area,Ready To Move,Indira Nagar,2,171.0,2,1475.0
Built-up  Area,Ready To Move,Other,1,26.0,1,375.0
Super built-up  Area,Ready To Move,Balagere,2,66.0,2,1007.0
Super built-up  Area,Ready To Move,Hennur Road,2,47.0,2,1020.0
Super built-up  Area,Ready To Move,Other,2,150.0,2,1000.0
Plot  Area,Ready To Move,Other,3,59.5,2,800.0
Super built-up  Area,Ready To Move,Marathahalli,2,55.0,2,1125.0
Built-up  Area,Ready To Move,Whitefield,5,240.0,4,2850.0
Super built-up  Area,Ready To Move,Other,2,85.0,2,1400.0
Super built-up  Area,Ready To Move,Kadugodi,2,61.0,2,1152.0
Super built-up  Area,Ready To Move,Subramanyapura,2,34.49,2,958.0
Super built-up  Area,Ready To Move,Bellandur,2,85.0,2,1310.0
Super built-up  Area,Ready To Move,Hosur Road,2,126.0,3,1590.0
Super built-up  Area,Ready To Move,Green Glen Layout,3,110.0,3,1645.0
Built-up  Area,Ready To Move,Other,2,100.0,3,1800.0
Super built-up  Area,Ready To Move,Thanisandra,3,150.0,3,1795.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,35.0,2,1100.0
Super built-up  Area,Soon to be Vacated,Thanisandra,1,38.535,1,777.0
Super built-up  Area,Ready To Move,Other,2,70.0,2,925.0
Super built-up  Area,Ready To Move,Bommanahalli,2,55.0,2,1020.0
Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,32.92,2,1140.0
Built-up  Area,Ready To Move,Anekal,2,45.0,3,967.0
Super built-up  Area,Soon to be Vacated,Hebbal,4,203.0,4,2470.0
Super built-up  Area,Ready To Move,Thanisandra,3,110.0,3,1697.0
Super built-up  Area,Ready To Move,Varthur,2,47.0,2,1250.0
Super built-up  Area,Ready To Move,Gottigere,2,50.0,2,1120.0
Plot  Area,Ready To Move,NRI Layout,4,95.0,4,1200.0
Plot  Area,Ready To Move,Other,3,480.0,4,2400.0
Super built-up  Area,Ready To Move,Hebbal,2,52.0,2,1200.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,44.0,2,1100.0
Super built-up  Area,Ready To Move,Devarachikkanahalli,2,76.0,3,1417.0
Built-up  Area,Ready To Move,Thanisandra,3,88.0,3,1492.0
Super built-up  Area,Soon to be Vacated,Devanahalli,3,79.15,3,1498.0
Built-up  Area,Ready To Move,Other,2,350.0,4,3500.0
Super built-up  Area,Ready To Move,Kundalahalli,2,48.27,2,1010.0
Super built-up  Area,Ready To Move,Hennur,2,53.5,2,1255.0
Super built-up  Area,Ready To Move,Channasandra,2,35.0,2,1050.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,125.0,3,1847.0
Super built-up  Area,Ready To Move,Bellandur,2,37.28,2,982.0
Super built-up  Area,Ready To Move,Hegde Nagar,4,145.0,3,2144.6
Super built-up  Area,Ready To Move,Kengeri,2,36.5,2,750.0
Built-up  Area,Ready To Move,Tindlu,2,52.0,2,1180.0
Super built-up  Area,Ready To Move,Other,4,255.0,3,2100.0
Super built-up  Area,Ready To Move,Haralur Road,2,46.0,2,1194.0
Built-up  Area,Ready To Move,Thanisandra,3,122.0,3,2072.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,220.0,3,1640.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2,81.5,2,1253.0
Super built-up  Area,Ready To Move,Hennur Road,2,54.92,2,1061.0
Super built-up  Area,Ready To Move,Marathahalli,3,115.0,3,1950.0
Built-up  Area,Ready To Move,Marathahalli,2,68.0,2,1250.0
Super built-up  Area,Ready To Move,Kammasandra,2,37.0,2,1015.0
Super built-up  Area,Ready To Move,Marathahalli,2,56.8,2,1125.0
Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,40.0,2,1116.0
Built-up  Area,Ready To Move,Other,1,35.0,1,400.0
Super built-up  Area,Ready To Move,Kasavanhalli,4,325.0,4,4000.0
Super built-up  Area,Ready To Move,Hebbal,4,410.0,4,3900.0
Super built-up  Area,Ready To Move,Old Madras Road,2,100.0,2,1300.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,60.42,2,1419.0
Super built-up  Area,Ready To Move,Thigalarapalya,4,152.0,3,2072.0
Built-up  Area,Ready To Move,Kaggadasapura,2,58.58,2,1240.0
Built-up  Area,Ready To Move,Chamrajpet,3,98.91,3,1565.0
Plot  Area,Ready To Move,KR Puram,5,310.0,5,3657.0
Super built-up  Area,Ready To Move,Hosa Road,2,62.0,2,1245.0
Super built-up  Area,Ready To Move,GM Palaya,3,65.0,3,1315.0
Super built-up  Area,Ready To Move,Kenchenahalli,2,73.0,3,1410.0
Super built-up  Area,Ready To Move,Dasarahalli,2,60.0,2,1375.0
Super built-up  Area,Ready To Move,Old Madras Road,2,95.0,2,1299.0
Plot  Area,Ready To Move,Bommasandra Industrial Area,3,45.0,2,1200.0
Super built-up  Area,Ready To Move,Other,2,156.0,2,985.0
Built-up  Area,Ready To Move,Other,5,180.0,4,2400.0
Super built-up  Area,Soon to be Vacated,Hebbal,2,95.0,3,1255.0
Super built-up  Area,Soon to be Vacated,Hoodi,3,131.0,3,1655.0
Super built-up  Area,Soon to be Vacated,Whitefield,5,190.0,4,2830.0
Super built-up  Area,Ready To Move,Other,2,40.0,1,825.0
Super built-up  Area,Soon to be Vacated,Begur Road,3,111.0,3,1634.0
Super built-up  Area,Ready To Move,Banaswadi,2,80.0,2,1222.0
Super built-up  Area,Ready To Move,Gottigere,3,63.0,3,1500.0
Super built-up  Area,Ready To Move,Akshaya Nagar,4,100.0,3,1890.0
Super built-up  Area,Ready To Move,Hulimavu,1,39.5,2,850.0
Super built-up  Area,Ready To Move,Whitefield,2,78.5,2,1295.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,100.0,2,1320.0
Plot  Area,Ready To Move,Hebbal,4,225.0,4,1200.0
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,3,170.0,4,3000.0
Built-up  Area,Ready To Move,Harlur,2,82.0,2,1197.0
Super built-up  Area,Soon to be Vacated,Whitefield,1,57.6,1,840.0
Super built-up  Area,Soon to be Vacated,Whitefield,1,19.83,1,640.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,71.38,3,1693.0
Super built-up  Area,Ready To Move,Kodihalli,2,62.0,2,1000.0
Built-up  Area,Ready To Move,Babusapalaya,2,70.0,2,1305.0
Built-up  Area,Ready To Move,Kodichikkanahalli,1,18.0,1,450.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1,57.0,1,705.0
Built-up  Area,Ready To Move,Tumkur Road,5,150.0,5,4800.0
Built-up  Area,Soon to be Vacated,Whitefield,3,104.0,3,1991.0
Super built-up  Area,Ready To Move,Battarahalli,3,90.0,3,1779.0
Super built-up  Area,Ready To Move,Banaswadi,2,38.0,2,870.0
Super built-up  Area,Soon to be Vacated,Thanisandra,3,120.0,3,1595.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,26.0,1,525.0
Plot  Area,Soon to be Vacated,Other,4,420.0,6,2400.0
Super built-up  Area,Soon to be Vacated,Iblur Village,4,138.0,3,2000.0
Super built-up  Area,Ready To Move,Yelahanka,3,93.0,3,1614.0
Super built-up  Area,Ready To Move,Gottigere,2,40.0,2,1200.0
Built-up  Area,Ready To Move,Electronic City Phase II,3,46.0,3,1150.0
Super built-up  Area,Ready To Move,Indira Nagar,4,440.0,4,3200.0
Super built-up  Area,Soon to be Vacated,Sonnenahalli,3,80.48,3,1610.0
Plot  Area,Ready To Move,Other,5,420.0,4,4800.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,97.0,3,1460.0
Super built-up  Area,Ready To Move,Other,3,400.0,3,3400.0
Plot  Area,Ready To Move,Other,1,33.0,1,600.0
Built-up  Area,Soon to be Vacated,Other,3,147.0,3,2600.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1,42.5,1,645.0
Plot  Area,Ready To Move,Other,3,180.0,4,1200.0
Built-up  Area,Ready To Move,Mico Layout,2,80.0,2,800.0
Super built-up  Area,Ready To Move,Marathahalli,2,90.0,2,1350.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,4,325.0,3,2780.0
Built-up  Area,Ready To Move,Other,1,72.0,1,800.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,68.0,2,1215.0
Built-up  Area,Ready To Move,Prithvi Layout,4,192.0,3,2273.0
Super built-up  Area,Soon to be Vacated,Varthur Road,2,52.76,2,1255.0
Super built-up  Area,Soon to be Vacated,Other,2,82.0,3,1225.0
Super built-up  Area,Ready To Move,Singasandra,2,60.0,2,1120.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,69.0,3,1225.0
Built-up  Area,Ready To Move,Indira Nagar,4,700.0,4,4000.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4,145.0,3,1984.0
Super built-up  Area,Ready To Move,Old Madras Road,3,197.0,3,2425.0
Plot  Area,Soon to be Vacated,ITPL,3,56.12,3,1200.0
Super built-up  Area,Soon to be Vacated,Bommasandra,2,45.0,2,1127.0
Built-up  Area,Soon to be Vacated,Whitefield,3,97.0,3,1655.0
Super built-up  Area,Soon to be Vacated,Ananth Nagar,1,14.0,1,500.0
Plot  Area,Soon to be Vacated,Varthur,3,68.38,3,1200.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,43.0,2,1000.0
Super built-up  Area,Soon to be Vacated,CV Raman Nagar,2,47.88,2,1225.0
Super built-up  Area,Ready To Move,Hormavu,2,45.0,2,1350.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2,49.0,2,1175.0
Super built-up  Area,Ready To Move,Other,1,27.0,1,655.0
Super built-up  Area,Soon to be Vacated,Hosa Road,2,84.86,3,1311.0
Carpet  Area,Ready To Move,CV Raman Nagar,2,38.5,2,1000.0
Super built-up  Area,Ready To Move,Other,2,96.0,2,1196.0
Built-up  Area,Ready To Move,Kanakpura Road,2,59.0,3,1050.0
Plot  Area,Ready To Move,Other,5,395.0,4,2400.0
Built-up  Area,Ready To Move,Hebbal,2,104.0,2,1333.0
Super built-up  Area,Soon to be Vacated,Other,1,18.0,1,600.0
Built-up  Area,Ready To Move,Koramangala,2,125.0,2,1370.0
Super built-up  Area,Ready To Move,Koramangala,2,85.0,2,1100.0
Super built-up  Area,Ready To Move,Haralur Road,3,100.0,3,1650.0
Super built-up  Area,Soon to be Vacated,Kasavanhalli,3,132.0,3,1917.0
Super built-up  Area,Ready To Move,Billekahalli,2,58.11,2,950.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,43.55,2,1089.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3,175.0,3,1804.0
Super built-up  Area,Ready To Move,Hoodi,2,68.5,2,1257.0
Super built-up  Area,Ready To Move,Sarjapur,1,19.87,1,650.0
Super built-up  Area,Ready To Move,Whitefield,3,150.0,3,1850.0
Built-up  Area,Ready To Move,Other,4,200.0,4,2800.0
